"rabs","n","alpha","rsgn","smoothed","plot","subj_id","weights","correct","log_time"
0.7,48,-2.94443897916644,0,1,0,93,1,0,1.791759493
0.5,12,-2.94443897916644,0,0,0,100,1,0,3.637586162
0.3,24,-2.94443897916644,0,0,0,176,1,0,3.433987195
0.3,96,-2.94443897916644,0,0,0,165,1,0,4.382026633
0.7,48,-2.94443897916644,1,0,0,137,1,0,4.007333179
0.9,24,-2.94443897916644,1,0,0,152,1,1,3.178053828
0.5,24,-2.94443897916644,0,0,0,196,1,0,3.737669613
0.9,24,-2.94443897916644,1,0,0,59,1,1,3.761200115
0.7,24,-2.94443897916644,0,0,0,183,1,0,3.295836867
0.5,96,-2.94443897916644,0,1,0,197,1,1,4.430816801
0.7,96,-2.94443897916644,0,1,1,61,1,1,2.995732287
0.9,12,-2.94443897916644,1,0,1,42,1,1,2.197224602
0.9,96,-2.94443897916644,1,1,1,118,1,1,3.09104243
0.9,48,-2.94443897916644,1,1,0,138,1,1,2.944438981
0.9,24,-2.94443897916644,0,0,1,165,1,1,2.197224532
0.3,96,-2.94443897916644,0,0,0,148,1,0,3.637586162
0.9,24,-2.94443897916644,1,0,1,157,1,1,2.639057339
0.7,48,-2.94443897916644,0,0,1,88,1,1,2.77258872
0.3,48,-2.94443897916644,1,1,1,142,1,0,3.25809653
0.5,48,-2.94443897916644,1,0,0,87,1,1,3.637586162
0.3,12,-2.94443897916644,1,0,0,183,1,0,2.639057339
0.9,48,-2.94443897916644,0,0,0,200,1,0,3.496507548
0.9,12,-2.94443897916644,0,0,0,61,1,1,2.708050183
0.3,96,-2.94443897916644,1,0,1,42,0.5,0,2.639057339
0.3,96,-2.94443897916644,1,0,1,42,0.5,1,2.639057339
0.9,48,-2.94443897916644,1,0,0,27,1,0,3.871201009
0.7,48,-2.94443897916644,1,0,1,62,1,1,2.833213356
0.5,12,-2.94443897916644,0,0,0,150,1,0,3.401197385
0.7,48,-2.94443897916644,0,1,0,131,0.333333333333333,1,4.094344566
0.7,48,-2.94443897916644,0,1,0,131,0.333333333333333,0,4.094344566
0.7,48,-2.94443897916644,0,1,0,131,0.333333333333333,0,4.094344566
0.9,96,-2.94443897916644,1,1,0,124,1,0,2.77258872
0.9,48,-2.94443897916644,0,0,0,93,1,0,3.218875832
0.5,96,-2.94443897916644,1,1,1,167,1,0,3.178053828
0.3,48,-2.94443897916644,1,0,0,149,1,0,3.496507567
0.5,96,-2.94443897916644,0,0,0,152,1,0,3.044522432
0.7,48,-2.94443897916644,0,1,0,59,1,0,2.995732287
0.3,12,-2.94443897916644,0,0,0,23,1,0,3.332204519
0.3,12,-2.94443897916644,1,0,1,142,1,0,2.302585075
0.3,12,-2.94443897916644,0,0,0,84,1,0,3.688879452
0.7,96,-2.94443897916644,0,1,0,196,1,1,3.135494231
0.7,12,-2.94443897916644,0,0,1,158,1,0,3.891820301
0.3,12,-2.94443897916644,1,0,0,166,1,0,3.688879452
0.7,48,-2.94443897916644,1,0,0,87,1,0,2.708050183
0.9,48,-2.94443897916644,0,0,1,148,1,1,2.484906621
0.3,12,-2.94443897916644,1,0,0,177,1,0,4.356708827
0.9,24,-2.94443897916644,0,0,0,27,1,0,2.56494935
0.5,96,-2.94443897916644,0,0,1,137,1,1,3.526360536
0.7,48,-2.94443897916644,0,0,0,149,1,1,2.397895278
0.7,96,-2.94443897916644,1,0,0,176,1,0,3.637586162
0.3,48,-2.94443897916644,0,0,0,138,1,0,3.367295825
0.3,96,-2.94443897916644,1,1,0,100,1,0,3.663561654
0.5,96,-2.94443897916644,0,0,1,165,1,0,3.295836867
0.5,24,-2.94443897916644,1,0,1,183,1,0,2.944438981
0.5,48,-2.94443897916644,1,0,1,62,1,1,2.77258872
0.7,96,-2.94443897916644,1,0,1,118,1,1,3.433987215
0.7,96,-2.94443897916644,1,1,1,158,1,1,2.484906621
0.5,96,-2.94443897916644,0,0,0,61,1,0,2.890371747
0.7,48,-2.94443897916644,1,1,0,124,1,1,2.484906621
0.3,12,-2.94443897916644,0,0,0,196,1,0,2.639057339
0.5,24,-2.94443897916644,0,0,1,17,1,0,4.204692619
0.5,96,-2.94443897916644,1,0,1,199,1,0,3.433987195
0.9,24,-2.94443897916644,0,0,0,23,1,0,2.890371782
0.9,96,-2.94443897916644,1,0,1,165,1,1,1.945910113
0.9,96,-2.94443897916644,0,0,1,183,1,1,1.791759493
0.3,12,-2.94443897916644,1,0,1,167,1,0,3.091042458
0.3,24,-2.94443897916644,1,0,0,132,1,0,4.234106501
0.3,48,-2.94443897916644,1,0,1,52,1,0,3.988984047
0.5,24,-2.94443897916644,1,0,0,59,0.5,0,3.258096554
0.5,24,-2.94443897916644,1,0,0,59,0.5,0,3.258096554
0.5,96,-2.94443897916644,1,0,1,88,0.5,1,3.25809653
0.5,96,-2.94443897916644,1,0,1,88,0.5,0,3.25809653
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,0,4.304065089
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,0,4.304065089
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,0,4.304065089
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,0,4.304065089
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,0,4.304065089
0.3,24,-2.94443897916644,0,0,0,123,0.166666666666667,1,4.304065089
0.9,48,-2.94443897916644,1,0,1,180,1,1,3.25809653
0.3,48,-2.94443897916644,1,0,1,17,1,0,2.397895278
0.7,24,-2.94443897916644,1,0,0,200,1,0,2.944438981
0.9,48,-2.94443897916644,1,0,0,196,1,0,2.302585138
0.7,48,-2.94443897916644,1,0,1,183,1,1,2.079441618
0.7,24,-2.94443897916644,0,0,0,93,1,0,1.791759389
0.7,48,-2.94443897916644,0,0,1,167,1,1,2.397895278
0.5,96,-2.94443897916644,0,1,0,27,1,0,3.218875832
0.9,12,-2.94443897916644,0,0,1,165,1,1,2.484906674
0.7,48,-2.94443897916644,1,0,0,61,1,0,2.944438981
0.5,24,-2.94443897916644,0,0,0,132,1,0,2.639057339
0.3,48,-2.94443897916644,0,0,0,14,1,0,4.234106501
0.3,24,-2.94443897916644,1,0,0,59,1,0,2.397895278
0.3,48,-2.94443897916644,0,0,0,87,1,0,3.433987195
0.9,96,-2.94443897916644,0,0,0,176,1,0,3.25809653
0.9,48,-2.94443897916644,0,0,1,148,1,1,3.828641398
0.7,96,-2.94443897916644,0,1,1,142,1,1,3.583518945
0.7,96,-2.94443897916644,0,1,0,100,0.5,0,3.295836867
0.7,96,-2.94443897916644,0,1,0,100,0.5,0,3.295836867
0.9,48,-2.94443897916644,1,1,0,124,1,0,3.091042458
0.7,96,-2.94443897916644,0,1,1,93,1,1,1.945910113
0.7,48,-2.94443897916644,0,1,0,166,0.333333333333333,0,3.663561638
0.7,48,-2.94443897916644,0,1,0,166,0.333333333333333,0,3.663561638
0.7,48,-2.94443897916644,0,1,0,166,0.333333333333333,1,3.663561638
0.7,48,-2.94443897916644,0,0,1,183,1,1,2.302585075
0.9,24,-2.94443897916644,1,0,0,17,1,1,2.397895278
0.3,24,-2.94443897916644,1,0,0,11,1,1,4.317488113
0.7,48,-2.94443897916644,0,0,0,138,1,0,3.465735901
0.7,96,-2.94443897916644,1,1,0,158,1,1,3.332204497
0.7,24,-2.94443897916644,0,0,1,152,1,1,3.784189625
0.5,24,-2.94443897916644,1,0,1,88,1,0,2.944438981
0.3,24,-2.94443897916644,0,0,1,44,1,0,3.828641398
0.7,48,-2.94443897916644,0,1,1,165,1,1,2.397895278
0.5,96,-2.94443897916644,1,1,0,84,1,0,3.295836867
0.7,48,-2.94443897916644,1,1,0,177,1,1,3.663561638
0.5,48,-2.94443897916644,0,1,0,132,1,0,2.484906621
0.7,96,-2.94443897916644,1,0,0,131,0.5,0,3.988984047
0.7,96,-2.94443897916644,1,0,0,131,0.5,1,3.988984047
0.9,48,-2.94443897916644,0,1,1,183,1,1,1.945910203
0.5,48,-2.94443897916644,1,1,0,23,1,0,3.367295847
0.5,96,-2.94443897916644,1,1,1,93,1,1,2.197224532
0.9,24,-2.94443897916644,1,0,0,61,1,1,2.77258872
0.9,96,-2.94443897916644,1,1,1,62,1,1,3.637586162
0.3,12,-2.94443897916644,1,0,1,142,1,0,2.708050225
0.7,48,-2.94443897916644,1,0,1,88,1,1,2.197224602
0.9,96,-2.94443897916644,0,0,0,124,1,0,2.708050183
0.5,12,-2.94443897916644,0,0,1,137,1,0,3.912023013
