"","subj_id","correct","r","rsgn","rabs","smoothed","n","plot","log_time","actual_location","attempts","weights","response_0","alpha"
"633","167",0,0.3,1,0.3,0,12,"L",3.931825632,16,1,1,"15",-2.94443897916644
"634","157",1,-0.9,0,0.9,1,48,"L",3.806662486,12,1,1,"12",-2.94443897916644
"635","100",1,-0.9,0,0.9,1,96,"S",3.850147595,15,1,1,"15",-2.94443897916644
"636","203",0,0.7,1,0.7,0,24,"L",2.833213319,2,1,1,"3",-2.94443897916644
"637","96",0,-0.7,0,0.7,0,12,"S",3.25809653,11,1,1,"18",-2.94443897916644
"638","109",1,0.9,1,0.9,0,96,"S",1.945910113,11,1,1,"11",-2.94443897916644
"639","177",1,0.9,1,0.9,0,24,"S",2.564949397,5,1,1,"5",-2.94443897916644
"640","131",0,0.3,1,0.3,0,24,"S",3.178053828,1,3,0.333333333333333,"2",-2.94443897916644
"641","131",0,0.3,1,0.3,0,24,"S",3.178053828,1,3,0.333333333333333,"6",-2.94443897916644
"642","131",0,0.3,1,0.3,0,24,"S",3.178053828,1,3,0.333333333333333,"20",-2.94443897916644
"643","178",1,-0.9,0,0.9,1,96,"S",3.610917909,15,1,1,"15",-2.94443897916644
"644","166",1,0.7,1,0.7,0,96,"S",2.302585075,4,1,1,"4",-2.94443897916644
"645","185",0,0.9,1,0.9,0,24,"L",2.995732287,4,1,1,"5",-2.94443897916644
"646","41",0,-0.5,0,0.5,0,96,"S",3.332204519,5,1,1,"1",-2.94443897916644
"647","53",1,-0.9,0,0.9,0,12,"L",2.708050225,3,1,1,"3",-2.94443897916644
"648","51",1,-0.5,0,0.5,1,48,"S",2.890371747,6,1,1,"6",-2.94443897916644
"649","115",1,-0.5,0,0.5,0,96,"S",3.044522462,11,1,1,"11",-2.94443897916644
"650","180",0,-0.5,0,0.5,0,24,"L",3.931825645,18,1,1,"8",-2.94443897916644
"651","203",1,0.7,1,0.7,0,48,"L",2.397895278,11,1,1,"11",-2.94443897916644
"652","177",1,-0.7,0,0.7,1,96,"S",2.302585075,6,1,1,"6",-2.94443897916644
"653","139",1,-0.7,0,0.7,1,96,"S",3.218875832,15,1,1,"15",-2.94443897916644
"654","106",1,0.5,1,0.5,0,96,"S",3.583518945,10,2,0.5,"10",-2.94443897916644
"655","106",0,0.5,1,0.5,0,96,"S",3.583518945,10,2,0.5,"16",-2.94443897916644
"656","115",1,-0.5,0,0.5,0,96,"S",3.258096554,11,1,1,"11",-2.94443897916644
"657","186",0,0.7,1,0.7,0,12,"L",3.610917909,7,1,1,"20",-2.94443897916644
"658","100",0,-0.7,0,0.7,0,24,"S",2.833213356,8,1,1,"11",-2.94443897916644
"659","126",1,0.7,1,0.7,1,48,"S",4.73619845,10,1,1,"10",-2.94443897916644
"660","123",0,-0.7,0,0.7,0,12,"S",3.218875832,8,4,0.25,"2",-2.94443897916644
"661","123",0,-0.7,0,0.7,0,12,"S",3.218875832,8,4,0.25,"6",-2.94443897916644
"662","123",0,-0.7,0,0.7,0,12,"S",3.218875832,8,4,0.25,"13",-2.94443897916644
"663","123",0,-0.7,0,0.7,0,12,"S",3.218875832,8,4,0.25,"17",-2.94443897916644
"664","51",0,0.3,1,0.3,0,48,"S",2.397895278,18,1,1,"8",-2.94443897916644
"665","52",0,-0.5,0,0.5,0,12,"L",4.043051259,2,1,1,"17",-2.94443897916644
"666","82",0,0.3,1,0.3,0,12,"L",3.912023,14,1,1,"10",-2.94443897916644
"667","131",1,-0.9,0,0.9,0,24,"S",2.995732287,19,5,0.2,"19",-2.94443897916644
"668","131",0,-0.9,0,0.9,0,24,"S",2.995732287,19,5,0.2,"2",-2.94443897916644
"669","131",0,-0.9,0,0.9,0,24,"S",2.995732287,19,5,0.2,"15",-2.94443897916644
"670","131",0,-0.9,0,0.9,0,24,"S",2.995732287,19,5,0.2,"20",-2.94443897916644
"671","131",0,-0.9,0,0.9,0,24,"S",2.995732287,19,5,0.2,"12",-2.94443897916644
"672","199",0,0.5,1,0.5,0,48,"L",3.850147608,2,1,1,"3",-2.94443897916644
"673","96",1,0.7,1,0.7,0,24,"S",2.77258872,17,1,1,"17",-2.94443897916644
"674","106",1,-0.7,0,0.7,1,96,"S",2.484906674,6,1,1,"6",-2.94443897916644
"675","109",0,-0.5,0,0.5,0,48,"S",3.433987215,12,1,1,"7",-2.94443897916644
"676","51",1,-0.7,0,0.7,0,12,"S",2.484906621,11,1,1,"11",-2.94443897916644
"677","53",1,0.3,1,0.3,0,24,"S",3.295836867,10,1,1,"10",-2.94443897916644
"678","43",0,0.3,1,0.3,0,24,"S",4.595119849,1,1,1,"15",-2.94443897916644
"679","185",1,0.7,1,0.7,0,96,"L",2.944438981,12,1,1,"12",-2.94443897916644
"680","177",1,0.5,1,0.5,0,24,"S",3.178053828,3,1,1,"3",-2.94443897916644
"681","118",1,0.7,1,0.7,1,48,"L",3.951243723,10,1,1,"10",-2.94443897916644
"682","44",1,0.7,1,0.7,0,48,"L",4.418840607,19,1,1,"19",-2.94443897916644
"683","186",1,-0.9,0,0.9,0,24,"S",2.944438981,10,1,1,"10",-2.94443897916644
"684","109",1,0.9,1,0.9,0,12,"S",1.945910203,3,1,1,"3",-2.94443897916644
"685","74",0,0.3,1,0.3,1,96,"S",3.71357207,9,1,1,"6",-2.94443897916644
"686","96",1,-0.9,0,0.9,0,96,"S",2.484906621,7,1,1,"7",-2.94443897916644
"687","188",0,-0.3,0,0.3,1,48,"L",2.833213319,12,1,1,"7",-2.94443897916644
"688","53",1,0.7,1,0.7,1,96,"S",2.484906621,7,1,1,"7",-2.94443897916644
"689","123",0,0.3,1,0.3,0,96,"S",3.367295825,11,4,0.25,"3",-2.94443897916644
"690","123",0,0.3,1,0.3,0,96,"S",3.367295825,11,4,0.25,"10",-2.94443897916644
"691","123",1,0.3,1,0.3,0,96,"S",3.367295825,11,4,0.25,"11",-2.94443897916644
"692","123",0,0.3,1,0.3,0,96,"S",3.367295825,11,4,0.25,"16",-2.94443897916644
"693","188",1,0.7,1,0.7,1,48,"L",2.197224602,10,1,1,"10",-2.94443897916644
"694","207",1,0.7,1,0.7,1,48,"L",3.135494231,5,1,1,"5",-2.94443897916644
"695","203",0,0.3,1,0.3,0,12,"S",3.71357207,7,1,1,"12",-2.94443897916644
"696","178",1,-0.9,0,0.9,0,24,"S",3.496507567,16,1,1,"16",-2.94443897916644
"697","106",1,-0.7,0,0.7,0,24,"S",3.218875832,8,1,1,"8",-2.94443897916644
"698","96",0,-0.7,0,0.7,0,12,"S",2.302585075,8,1,1,"13",-2.94443897916644
"699","180",0,-0.3,0,0.3,0,48,"L",3.761200115,8,1,1,"18",-2.94443897916644
"700","82",1,0.7,1,0.7,0,96,"L",3.555348062,11,1,1,"11",-2.94443897916644
"701","115",0,-0.3,0,0.3,0,12,"S",3.663561654,10,1,1,"11",-2.94443897916644
"702","43",0,-0.3,0,0.3,0,96,"S",3.044522432,3,1,1,"5",-2.94443897916644
"703","199",0,-0.5,0,0.5,0,48,"L",3.465735901,6,1,1,"13",-2.94443897916644
"704","52",1,0.5,1,0.5,0,48,"L",3.583518945,7,1,1,"7",-2.94443897916644
"705","188",1,0.9,1,0.9,0,48,"S",2.197224602,4,1,1,"4",-2.94443897916644
"706","186",1,0.7,1,0.7,0,96,"S",2.890371747,12,1,1,"12",-2.94443897916644
"707","185",0,0.3,1,0.3,0,24,"L",3.218875832,10,2,0.5,"8",-2.94443897916644
"708","185",0,0.3,1,0.3,0,24,"L",3.218875832,10,2,0.5,"18",-2.94443897916644
"709","109",1,-0.5,0,0.5,1,96,"L",3.178053828,11,1,1,"11",-2.94443897916644
"710","139",0,-0.3,0,0.3,0,96,"S",3.951243711,5,1,1,"12",-2.94443897916644
"711","157",0,-0.3,0,0.3,0,12,"L",4.304065098,7,1,1,"11",-2.94443897916644
"712","44",0,0.3,1,0.3,1,96,"L",3.433987215,9,1,1,"6",-2.94443897916644
"713","116",1,0.7,1,0.7,0,96,"S",3.71357207,11,1,1,"11",-2.94443897916644
"714","188",0,-0.5,0,0.5,1,96,"S",2.397895278,11,1,1,"9",-2.94443897916644
"715","117",1,-0.3,0,0.3,0,96,"S",3.784189625,11,1,1,"11",-2.94443897916644
"716","203",0,-0.9,0,0.9,0,12,"S",2.995732256,3,1,1,"9",-2.94443897916644
"717","82",1,-0.9,0,0.9,1,96,"S",2.833213356,19,1,1,"19",-2.94443897916644
"718","43",1,-0.7,0,0.7,1,48,"S",2.639057339,11,1,1,"11",-2.94443897916644
"719","115",1,-0.5,0,0.5,1,96,"S",2.77258872,11,1,1,"11",-2.94443897916644
"720","62",0,-0.7,0,0.7,1,96,"L",4.574710979,15,1,1,"18",-2.94443897916644
"721","106",0,0.9,1,0.9,0,96,"L",3.332204519,11,1,1,"6",-2.94443897916644
"722","96",0,-0.9,0,0.9,0,48,"L",3.401197385,5,1,1,"7",-2.94443897916644
"723","123",0,-0.9,0,0.9,1,96,"S",3.526360518,15,4,0.25,"5",-2.94443897916644
"724","123",1,-0.9,0,0.9,1,96,"S",3.526360518,15,4,0.25,"15",-2.94443897916644
"725","123",0,-0.9,0,0.9,1,96,"S",3.526360518,15,4,0.25,"8",-2.94443897916644
"726","123",0,-0.9,0,0.9,1,96,"S",3.526360518,15,4,0.25,"17",-2.94443897916644
"727","115",0,-0.3,0,0.3,1,96,"L",2.484906621,3,1,1,"5",-2.94443897916644
"728","203",0,0.3,1,0.3,0,24,"S",2.639057294,10,1,1,"20",-2.94443897916644
"729","186",0,-0.5,0,0.5,0,48,"S",3.401197385,11,1,1,"7",-2.94443897916644
"730","199",0,-0.5,0,0.5,0,12,"L",3.465735901,7,1,1,"13",-2.94443897916644
"731","109",1,-0.7,0,0.7,1,48,"L",3.433987215,11,1,1,"11",-2.94443897916644
"732","53",1,-0.3,0,0.3,0,48,"S",2.302585075,8,1,1,"8",-2.94443897916644
"733","185",0,-0.3,0,0.3,0,96,"L",3.496507567,11,1,1,"7",-2.94443897916644
"734","74",0,-0.3,0,0.3,1,96,"S",3.555348062,3,1,1,"14",-2.94443897916644
"735","188",0,0.5,1,0.5,0,24,"S",3.295836867,2,1,1,"5",-2.94443897916644
"736","118",0,-0.5,0,0.5,0,12,"L",4.158883081,11,1,1,"16",-2.94443897916644
"737","207",1,0.5,1,0.5,0,12,"L",3.891820301,16,1,1,"16",-2.94443897916644
"738","115",1,0.9,1,0.9,0,96,"L",2.197224532,17,1,1,"17",-2.94443897916644
"739","117",0,0.3,1,0.3,1,48,"S",2.639057339,20,1,1,"17",-2.94443897916644
"740","185",1,0.9,1,0.9,0,48,"L",2.302585138,4,1,1,"4",-2.94443897916644
"741","186",0,0.5,1,0.5,1,96,"S",2.639057294,10,1,1,"14",-2.94443897916644
"742","203",1,0.5,1,0.5,0,96,"S",2.890371747,13,1,1,"13",-2.94443897916644
"743","53",1,-0.7,0,0.7,0,48,"S",2.56494935,5,1,1,"5",-2.94443897916644
"744","188",1,0.7,1,0.7,0,96,"S",2.07944154,4,1,1,"4",-2.94443897916644
"745","96",0,-0.3,0,0.3,1,96,"L",3.178053828,3,3,0.333333333333333,"2",-2.94443897916644
"746","96",0,-0.3,0,0.3,1,96,"L",3.178053828,3,3,0.333333333333333,"8",-2.94443897916644
"747","96",0,-0.3,0,0.3,1,96,"L",3.178053828,3,3,0.333333333333333,"14",-2.94443897916644
"748","43",0,0.7,1,0.7,0,12,"L",3.688879452,19,2,0.5,"9",-2.94443897916644
"749","43",0,0.7,1,0.7,0,12,"L",3.688879452,19,2,0.5,"8",-2.94443897916644
"750","106",0,-0.5,0,0.5,0,48,"L",3.496507567,6,1,1,"3",-2.94443897916644
"751","141",0,0.3,1,0.3,1,48,"S",4.406719251,20,2,0.5,"17",-2.94443897916644
"752","141",0,0.3,1,0.3,1,48,"S",4.406719251,20,2,0.5,"16",-2.94443897916644
"753","185",1,0.9,1,0.9,0,48,"S",2.197224602,4,1,1,"4",-2.94443897916644
"754","109",0,-0.9,0,0.9,0,96,"L",3.178053828,7,1,1,"10",-2.94443897916644
"755","199",0,-0.5,0,0.5,0,12,"L",3.218875832,7,1,1,"18",-2.94443897916644
"756","123",0,0.3,1,0.3,1,48,"S",3.332204497,20,4,0.25,"3",-2.94443897916644
"757","123",0,0.3,1,0.3,1,48,"S",3.332204497,20,4,0.25,"9",-2.94443897916644
"758","123",0,0.3,1,0.3,1,48,"S",3.332204497,20,4,0.25,"15",-2.94443897916644
"759","123",0,0.3,1,0.3,1,48,"S",3.332204497,20,4,0.25,"19",-2.94443897916644
"760","82",0,-0.5,0,0.5,0,24,"S",3.850147595,4,1,1,"6",-2.94443897916644
"761","188",0,-0.7,0,0.7,0,12,"S",2.302585138,11,1,1,"18",-2.94443897916644
"762","115",1,-0.9,0,0.9,1,48,"L",2.995732256,9,1,1,"9",-2.94443897916644
